"average caption length","real","fake"
0,1794,7168
10,1774,3615
20,1919,2318
30,1935,1537
40,1640,1045
50,1394,855
60,1160,654
70,1029,593
80,873,477
90,777,414
100,737,338
110,597,329
120,550,260
130,489,290
140,491,220
150,452,241
160,399,206
170,373,199
180,339,192
190,329,152
200,312,157
210,293,153
220,284,136
230,286,144
240,266,129
250,254,136
260,237,129
270,236,133
280,216,122
290,237,118
300,196,137
310,189,111
320,191,105
330,166,109
340,168,89
350,161,107
360,138,106
370,121,96
380,143,92
390,97,77
400,124,69
410,106,76
420,109,82
430,107,77
440,84,63
450,81,72
460,99,64
470,70,76
480,88,72
490,83,69
500,73,73
510,75,74
520,68,66
530,52,87
540,59,72
550,62,58
560,53,55
570,44,45
580,61,45
590,49,49
600,56,53
610,47,55
620,57,49
630,39,52
640,38,48
650,46,42
660,38,70
670,31,43
680,24,46
690,24,42
700,31,37
710,26,41
720,26,41
730,25,32
740,27,30
750,24,44
760,38,29
770,22,31
780,25,31
790,24,27
800,15,35
810,20,25
820,20,31
830,9,28
840,17,28
850,9,20
860,12,14
870,16,13
880,13,22
890,12,14
900,13,17
910,8,12
920,13,15
930,10,18
940,14,17
950,11,9
960,4,13
970,9,10
980,6,9
990,6,13
1000,15,13
1010,9,9
1020,11,13
1030,8,9
1040,9,13
1050,7,13
1060,4,7
1070,7,8
1080,6,11
1090,12,6
1100,4,7
1110,3,4
1120,2,5
1130,7,7
1140,7,2
1150,7,1
1160,7,9
1170,3,4
1180,5,5
1190,7,3
1200,6,5
1210,2,3
1220,4,2
1230,4,3
1240,3,4
1250,4,4
1260,2,3
1270,2,2
1280,6,5
1290,4,3
1300,2,2
1310,3,1
1320,2,2
1330,3,5
1340,5,2
1350,4,2
1360,2,4
1370,2,1
1380,2,2
1390,4,7
1400,3,1
1410,1,2
1420,0,2
1430,2,0
1440,1,4
1450,2,3
1460,0,2
1470,0,2
1480,2,1
1490,0,2
1500,0,1
1510,1,3
1520,3,1
1530,0,2
1540,1,3
1550,2,0
1560,1,2
1570,2,4
1580,0,1
1590,2,1
1600,1,1
1610,1,0
1630,0,1
1640,0,1
1660,1,0
1670,2,0
1690,1,1
1700,1,1
1710,1,0
1720,1,1
1730,0,1
1750,2,0
1780,1,1
1790,2,2
1830,0,1
1840,0,1
1850,1,0
1860,0,1
1870,0,1
1910,1,0
1930,1,0
1940,1,0
1980,1,0
2040,1,1
2050,1,0
2060,0,1
2090,0,1
2120,0,1
2140,0,1
2150,1,0
2160,0,1
2170,0,1
2190,0,1
2230,1,0
2310,1,0
2800,1,0
3210,1,0
3280,1,0
3650,1,0
