"Engagement rate (Comments)","real","fake"
0,16937,21687
1,5370,2091
2,1607,862
3,694,423
4,374,262
5,242,235
6,137,138
7,88,111
8,81,74
9,63,64
10,62,55
11,40,51
12,38,45
13,24,23
14,20,23
15,15,11
16,24,18
17,15,13
18,11,7
19,4,6
20,13,15
21,6,4
22,6,6
23,7,4
24,2,6
25,9,11
26,4,5
27,4,4
28,4,2
29,4,2
30,4,2
31,2,1
32,0,3
33,4,2
34,2,4
35,0,1
36,1,1
37,4,0
38,1,0
39,0,2
40,2,3
41,1,1
42,1,1
43,0,1
45,1,1
46,0,1
48,1,0
50,7,2
53,1,2
54,1,1
56,1,1
57,0,1
58,1,2
61,1,1
62,2,1
64,1,0
71,0,1
73,1,0
75,0,1
77,1,0
79,0,2
81,0,1
82,1,0
88,0,1
100,4,1
106,0,1
157,0,1
170,0,1
281,0,1
283,0,1
300,0,1
344,0,1
400,0,1
1009,0,1
